model_name,accuracy,precision,recall,macro_f1,training_time_seconds,generated_at_utc,input_file_name,input_rows,age_hours,is_stale
TF-IDF + Logistic Regression,0.6961805555555556,0.697218260907292,0.6961805555555557,0.6965422640490596,2.1349229709999236,2026-05-08T03:53:59.259425+00:00,amazon_reviews_2023_electronics_for_models_balanced.csv,3834.0,0.02,False
CNN,0.6423611111111112,0.67,0.64,0.6469712403416662,,2026-05-08T03:54:32.009783+00:00,amazon_reviews_2023_electronics_for_models_balanced.csv,3834.0,0.02,False
LSTM/BiLSTM,0.7935393258426966,0.5695337131708964,0.6845331181949773,0.6045331866265814,,2026-05-08T03:55:29.163275+00:00,amazon_reviews_2023_electronics_for_models.csv,18986.0,0.0,False
BERT,0.7517361111111112,0.7565521538082515,0.7517361111111112,0.7533203304263684,193.62869183800012,2026-05-08T03:59:22+00:00,,,,False
